x,y
5.8333,1.4331
5.8326,1.4333
5.7903,1.4467
5.7479,1.4600
5.7056,1.4733
5.6633,1.4867
5.6209,1.5000
5.5000,1.5026
5.1667,1.5096
4.9644,1.5133
4.8333,1.5159
4.5000,1.5137
4.4558,1.5133
4.1667,1.5108
3.8333,1.5078
3.5000,1.5049
3.1667,1.5020
3.0946,1.5000
3.0515,1.4867
3.0084,1.4733
2.9652,1.4600
2.9221,1.4467
2.8789,1.4333
2.8358,1.4200
2.8333,1.4192
2.8091,1.4067
2.7834,1.3933
2.7577,1.3800
2.7319,1.3667
2.7062,1.3533
2.6642,1.3400
2.6028,1.3267
2.5170,1.3133
2.5000,1.3112
2.1667,1.3090
2.1342,1.3000
2.0862,1.2867
2.0382,1.2733
1.9902,1.2600
1.9280,1.2467
1.8333,1.2374
1.6236,1.2333
1.5000,1.2310
1.1667,1.2245
1.0569,1.2200
0.8333,1.2108
0.7708,1.2067
0.6253,1.1933
0.5489,1.1800
0.5000,1.1715
0.4787,1.1667
0.4196,1.1533
0.3604,1.1400
0.2971,1.1267
0.2251,1.1133
0.1667,1.1033
0.1466,1.1000
0.1189,1.0867
0.0912,1.0733
0.0463,1.0600
-0.0618,1.0467
-0.1667,1.0401
-0.3839,1.0333
-0.5000,1.0297
-0.6199,1.0200
-0.7847,1.0067
-0.8333,1.0017
-0.9444,0.9933
-1.0761,0.9800
-1.1667,0.9708
-1.2233,0.9667
-1.3959,0.9533
-1.5000,0.9448
-1.5492,0.9400
-1.7114,0.9267
-1.8333,0.9162
-1.8440,0.9133
-1.8996,0.9000
-1.9131,0.8867
-1.9386,0.8733
-1.9678,0.8600
-1.9970,0.8467
-2.0262,0.8333
-2.0553,0.8200
-2.1667,0.8112
-2.3231,0.8067
-2.5000,0.7990
-2.6303,0.7933
-2.6608,0.7800
-2.6913,0.7667
-2.7218,0.7533
-2.7814,0.7400
-2.8333,0.7319
-3.1667,0.7274
-3.1789,0.7267
-3.5000,0.7153
-3.5055,0.7133
-3.5423,0.7000
-3.6495,0.6867
-3.8333,0.6796
-3.8780,0.6733
-3.9189,0.6600
-4.0054,0.6467
-4.1667,0.6371
-4.1957,0.6333
-4.2772,0.6200
-4.3480,0.6067
-4.5000,0.5939
-4.5042,0.5933
-4.6070,0.5800
-4.6864,0.5667
-4.7980,0.5533
-4.8333,0.5507
-4.8912,0.5400
-4.9636,0.5267
-5.1000,0.5133
-5.1667,0.5105
-5.5000,0.5081
-5.8333,0.5056
-6.1667,0.5032
-6.5000,0.5007
-6.6004,0.5000
-6.5000,0.4990
-6.1667,0.4957
-5.8333,0.4924
-5.5000,0.4891
-5.2561,0.4867
-5.1667,0.4858
-4.8333,0.4826
-4.5000,0.4813
-4.1667,0.4802
-3.8333,0.4791
-3.5000,0.4780
-3.1667,0.4769
-2.8333,0.4759
-2.5000,0.4761
-2.1667,0.4763
-1.8333,0.4765
-1.5000,0.4770
-1.1667,0.4775
-0.8333,0.4781
-0.5000,0.4788
-0.1667,0.4792
0.1667,0.4796
0.5000,0.4800
0.8333,0.4802
1.1667,0.4803
1.5000,0.4804
1.8333,0.4805
2.1667,0.4804
2.5000,0.4802
2.8333,0.4800
3.1667,0.4797
3.5000,0.4794
3.8333,0.4790
4.1667,0.4786
4.5000,0.4783
4.8333,0.4780
5.1667,0.4779
5.5000,0.4779
5.8333,0.4778
6.1667,0.4778
6.5000,0.4777
6.8333,0.4789
7.1667,0.4817
7.5000,0.4845
7.7563,0.4867
7.8333,0.4873
8.1667,0.4901
8.5000,0.4929
8.8333,0.4957
9.1667,0.4985
9.3407,0.5000
9.2881,0.5133
9.2354,0.5267
9.1827,0.5400
9.1667,0.5441
9.1300,0.5533
9.0773,0.5667
9.0246,0.5800
8.8904,0.5933
8.8532,0.6067
8.8333,0.6121
8.7484,0.6200
8.5929,0.6333
8.5494,0.6467
8.5000,0.6533
8.3899,0.6600
8.2796,0.6733
8.2149,0.6867
8.1667,0.6921
8.0456,0.7000
7.9591,0.7133
7.8570,0.7267
7.8333,0.7293
7.7061,0.7400
7.6183,0.7533
7.5000,0.7666
7.4982,0.7667
7.3688,0.7800
7.2603,0.7933
7.1912,0.8067
7.1723,0.8200
7.1667,0.8240
7.1426,0.8333
7.1084,0.8467
7.0741,0.8600
7.0398,0.8733
7.0056,0.8867
6.9549,0.9000
6.9943,0.9133
6.9818,0.9267
6.9160,0.9400
6.8501,0.9533
6.8333,0.9567
6.7845,0.9667
6.7190,0.9800
6.6534,0.9933
6.6421,1.0067
6.6851,1.0200
6.7280,1.0333
6.7710,1.0467
6.8098,1.0600
6.8333,1.0660
6.8570,1.0733
6.8726,1.0867
6.8381,1.1000
6.8333,1.1095
6.8229,1.1133
6.7482,1.1267
6.6714,1.1400
6.5946,1.1533
6.5178,1.1667
6.5000,1.1698
6.4410,1.1800
6.3642,1.1933
6.3182,1.2067
6.3029,1.2200
6.2876,1.2333
6.2722,1.2467
6.2569,1.2600
6.2416,1.2733
6.2192,1.2867
6.2010,1.3000
6.1867,1.3133
6.1712,1.3267
6.1667,1.3281
6.1158,1.3400
6.0714,1.3533
6.0363,1.3667
6.0019,1.3800
5.9596,1.3933
5.9173,1.4067
5.8749,1.4200
5.8333,1.4331
