x,y
9.5000,1.5214
9.1667,1.5250
8.8333,1.5250
8.5000,1.5250
8.1667,1.5250
7.8333,1.5250
7.5000,1.5250
7.1667,1.5250
6.8333,1.5250
6.5000,1.5249
6.1667,1.5249
5.8333,1.5249
5.5000,1.5249
5.1667,1.5249
4.8333,1.5249
4.5000,1.5249
4.1667,1.5248
3.8333,1.5248
3.5000,1.5248
3.1667,1.5248
2.8333,1.5248
2.5000,1.5248
2.1667,1.5248
1.8333,1.5247
1.5000,1.5246
1.1667,1.5245
0.8333,1.5243
0.5000,1.5239
0.1667,1.5241
-0.1667,1.5243
-0.5000,1.5245
-0.8333,1.5241
-1.1667,1.5238
-1.5000,1.5236
-1.8333,1.5234
-2.1667,1.5232
-2.5000,1.5230
-2.8333,1.5229
-3.1667,1.5225
-3.5000,1.5221
-3.8333,1.5216
-4.1667,1.5212
-4.5000,1.5208
-4.8333,1.5204
-5.1667,1.5200
-5.5000,1.5197
-5.8333,1.5194
-6.1667,1.5191
-6.5000,1.5188
-6.8333,1.5184
-7.1667,1.5178
-7.5000,1.5171
-7.8333,1.5165
-8.1667,1.5158
-8.5000,1.5152
-8.8333,1.5145
-9.1667,1.5139
-9.4473,1.5133
-9.5000,1.5132
-9.8333,1.5054
-10.1667,1.5017
-10.5000,1.5009
-10.8333,1.5007
-11.1667,1.5004
-11.5000,1.5002
-11.7462,1.5000
-11.7942,1.4867
-11.8333,1.4758
-11.8422,1.4733
-11.8903,1.4600
-11.9383,1.4467
-11.9863,1.4333
-12.0344,1.4200
-12.0824,1.4067
-12.1304,1.3933
-12.1667,1.3833
-12.1784,1.3800
-12.2265,1.3667
-12.2745,1.3533
-12.3225,1.3400
-12.3706,1.3267
-12.4186,1.3133
-12.4666,1.3000
-12.5000,1.2907
-12.5146,1.2867
-12.8333,1.2765
-13.1667,1.2757
-13.5000,1.2753
-13.8333,1.2749
-14.1667,1.2744
-14.5000,1.2740
-14.8333,1.2735
-14.9968,1.2733
-15.1667,1.2731
-15.5000,1.2727
-15.8333,1.2722
-16.1667,1.2718
-16.5000,1.2714
-16.8333,1.2709
-17.1667,1.2705
-17.5000,1.2701
-17.8333,1.2696
-18.1667,1.2692
-18.5000,1.2687
-18.8333,1.2683
-19.1667,1.2679
-19.5000,1.2674
-19.8333,1.2670
-19.8370,1.2600
-19.8440,1.2467
-19.8510,1.2333
-19.8578,1.2200
-19.8641,1.2067
-19.8672,1.1933
-19.8676,1.1800
-19.8679,1.1667
-19.8683,1.1533
-19.8687,1.1400
-19.8690,1.1267
-19.8691,1.1133
-19.8693,1.1000
-19.8680,1.0867
-19.8662,1.0733
-19.8644,1.0600
-19.8626,1.0467
-19.8608,1.0333
-19.8592,1.0200
-19.8575,1.0067
-19.8574,0.9933
-19.8588,0.9800
-19.8602,0.9667
-19.8617,0.9533
-19.8632,0.9400
-19.8647,0.9267
-19.8663,0.9133
-19.8678,0.9000
-19.8693,0.8867
-19.8708,0.8733
-19.8723,0.8600
-19.8738,0.8467
-19.8753,0.8333
-19.8768,0.8200
-19.8783,0.8067
-19.8789,0.7933
-19.8793,0.7800
