x,y
10.2552,1.3267
10.2380,1.3400
10.2207,1.3533
10.2035,1.3667
10.1863,1.3800
10.1691,1.3933
10.1667,1.3952
10.1407,1.4067
10.1104,1.4200
10.0801,1.4333
10.0498,1.4467
10.0195,1.4600
9.9892,1.4733
9.9589,1.4867
9.8662,1.5000
9.8333,1.5011
9.5000,1.5045
9.1667,1.5066
8.8333,1.5086
8.5000,1.5107
8.1667,1.5127
8.0666,1.5133
7.8333,1.5148
7.5000,1.5168
7.1667,1.5189
6.8333,1.5209
6.5000,1.5219
6.1667,1.5221
5.8333,1.5224
5.5000,1.5226
5.1667,1.5228
4.8333,1.5230
4.5000,1.5220
4.1667,1.5206
3.8333,1.5192
3.5000,1.5178
3.1667,1.5164
2.8333,1.5148
2.6172,1.5133
2.5000,1.5125
2.1667,1.5102
1.8333,1.5080
1.5000,1.5062
1.1667,1.5043
0.9714,1.5000
0.9135,1.4867
0.8418,1.4733
0.8333,1.4719
0.7997,1.4600
0.7622,1.4467
0.7247,1.4333
0.6872,1.4200
0.6497,1.4067
0.6145,1.3933
0.5796,1.3800
0.5414,1.3667
0.5000,1.3535
0.4998,1.3533
0.4809,1.3400
0.4621,1.3267
0.4432,1.3133
0.4243,1.3000
0.3908,1.2867
0.3450,1.2733
0.2787,1.2600
0.1740,1.2467
0.1667,1.2460
-0.1667,1.2464
-0.4095,1.2467
-0.5000,1.2468
-0.5024,1.2467
-0.7884,1.2333
-0.8333,1.2312
-0.9484,1.2200
-1.0719,1.2067
-1.1667,1.1995
-1.2180,1.1933
-1.3548,1.1800
-1.5000,1.1685
-1.5203,1.1667
-1.6715,1.1533
-1.8181,1.1400
-1.8333,1.1391
-2.0367,1.1267
-2.1667,1.1187
-2.3278,1.1133
-2.5000,1.1075
-2.7243,1.1000
-2.7457,1.0867
-2.8333,1.0749
-2.8461,1.0733
-2.9879,1.0600
-3.1296,1.0467
-3.1667,1.0432
-3.2267,1.0333
-3.3079,1.0200
-3.3892,1.0067
-3.4133,0.9933
-3.3803,0.9800
-3.3473,0.9667
-3.3143,0.9533
-3.3175,0.9400
-3.3519,0.9267
-3.5000,0.9148
-3.5413,0.9133
-3.8333,0.9027
-3.9074,0.9000
-4.0824,0.8867
-4.1667,0.8803
-4.2575,0.8733
-4.4325,0.8600
-4.5000,0.8549
-4.6076,0.8467
-4.7826,0.8333
-4.8333,0.8295
-4.8868,0.8200
-4.9792,0.8067
-5.1667,0.7947
-5.1986,0.7933
-5.3015,0.7800
-5.4044,0.7667
-5.5000,0.7543
-5.5073,0.7533
-5.6102,0.7400
-5.7131,0.7267
-5.8160,0.7133
-5.8333,0.7111
-5.9189,0.7000
-6.0219,0.6867
-6.1338,0.6733
-6.1667,0.6710
-6.5000,0.6687
-6.8333,0.6663
-6.9245,0.6600
-7.1177,0.6467
-7.1667,0.6433
-7.2426,0.6333
-7.3445,0.6200
-7.4463,0.6067
-7.5000,0.5996
-7.5481,0.5933
-7.6657,0.5800
-7.8333,0.5712
-8.1667,0.5703
-8.5000,0.5694
-8.8333,0.5685
-9.1667,0.5676
-9.5000,0.5667
-9.5272,0.5667
-9.8333,0.5659
-9.8909,0.5533
-9.9522,0.5400
-10.0134,0.5267
-10.0747,0.5133
-10.1667,0.5100
-10.5000,0.5036
-10.8333,0.5030
-11.1667,0.5025
-11.5000,0.5019
-11.8333,0.5013
-12.1667,0.5007
-12.5000,0.5002
-12.5922,0.5000
-12.5000,0.4999
-12.1667,0.4997
-11.8333,0.4994
-11.5000,0.4991
-11.1667,0.4989
-10.8333,0.4986
-10.5000,0.4983
-10.1667,0.4972
-9.8333,0.4913
-9.6349,0.4867
-9.5000,0.4816
-9.1667,0.4791
-8.8333,0.4788
-8.5000,0.4785
-8.1667,0.4783
-7.8333,0.4780
-7.5000,0.4777
-7.1667,0.4774
-6.8333,0.4772
-6.5000,0.4769
-6.1667,0.4765
-5.8333,0.4762
-5.5000,0.4759
-5.1667,0.4756
-4.8333,0.4752
-4.5000,0.4752
-4.1667,0.4752
-3.8333,0.4752
-3.5000,0.4752
-3.1667,0.4752
-2.8333,0.4752
-2.5000,0.4753
-2.1667,0.4753
-1.8333,0.4754
-1.5000,0.4755
-1.1667,0.4755
-0.8333,0.4756
-0.5000,0.4757
-0.1667,0.4757
0.1667,0.4758
0.5000,0.4759
0.8333,0.4759
1.1667,0.4759
1.5000,0.4760
1.8333,0.4760
2.1667,0.4760
2.5000,0.4759
2.8333,0.4759
3.1667,0.4758
3.5000,0.4758
3.8333,0.4757
4.1667,0.4757
4.5000,0.4756
4.8333,0.4755
5.1667,0.4755
5.5000,0.4755
5.8333,0.4754
6.1667,0.4754
6.5000,0.4754
6.8333,0.4754
7.1667,0.4754
7.5000,0.4755
7.8333,0.4755
8.1667,0.4756
8.5000,0.4756
8.8333,0.4757
9.1667,0.4757
9.5000,0.4791
9.7018,0.4867
9.8333,0.4897
10.1667,0.4965
10.5000,0.4977
10.8333,0.4978
11.1667,0.4980
11.5000,0.4981
11.8333,0.4982
12.1667,0.4983
12.5000,0.4984
12.8333,0.4985
13.1667,0.4987
13.5000,0.4988
13.8333,0.4989
