x,y
5.9127,1.4333
5.8742,1.4467
5.8356,1.4600
5.8333,1.4608
5.7971,1.4733
5.7586,1.4867
5.7201,1.5000
5.5000,1.5046
5.1667,1.5114
5.0637,1.5133
4.8333,1.5178
4.5000,1.5175
4.1667,1.5161
3.8333,1.5147
3.5200,1.5133
3.5000,1.5132
3.1667,1.5118
2.8333,1.5062
2.6964,1.5000
2.6783,1.4867
2.6602,1.4733
2.6420,1.4600
2.6239,1.4467
2.6058,1.4333
2.5876,1.4200
2.5695,1.4067
2.5514,1.3933
2.5332,1.3800
2.5151,1.3667
2.5000,1.3556
2.4489,1.3533
2.1667,1.3497
2.1391,1.3400
2.1011,1.3267
2.0632,1.3133
2.0252,1.3000
1.9873,1.2867
1.9493,1.2733
1.9114,1.2600
1.8546,1.2467
1.8333,1.2444
1.5000,1.2382
1.2416,1.2333
1.1667,1.2319
0.8333,1.2214
0.8030,1.2200
0.5062,1.2067
0.5000,1.2062
0.4098,1.1933
0.3715,1.1800
0.3332,1.1667
0.2949,1.1533
0.2566,1.1400
0.2018,1.1267
0.1667,1.1208
0.1084,1.1133
0.0043,1.1000
-0.0231,1.0867
-0.0505,1.0733
-0.1162,1.0600
-0.1667,1.0551
-0.3962,1.0467
-0.5000,1.0429
-0.5977,1.0333
-0.7342,1.0200
-0.8333,1.0103
-0.8850,1.0067
-1.0583,0.9933
-1.1667,0.9833
-1.2228,0.9800
-1.4235,0.9667
-1.5000,0.9609
-1.5578,0.9533
-1.7001,0.9400
-1.8333,0.9296
-1.8469,0.9267
-1.8999,0.9133
-1.9651,0.9000
-1.9817,0.8867
-2.0082,0.8733
-2.0377,0.8600
-2.0671,0.8467
-2.0966,0.8333
-2.1261,0.8200
-2.1667,0.8167
-2.5000,0.8068
-2.5070,0.8067
-2.8122,0.7933
-2.8333,0.7855
-2.8511,0.7800
-3.0214,0.7667
-3.1667,0.7602
-3.1825,0.7533
-3.2481,0.7400
-3.5000,0.7290
-3.5180,0.7267
-3.5598,0.7133
-3.6229,0.7000
-3.8037,0.6867
-3.8333,0.6855
-3.9199,0.6733
-3.9757,0.6600
-4.0927,0.6467
-4.1667,0.6422
-4.2349,0.6333
-4.3203,0.6200
-4.4076,0.6067
-4.5000,0.5988
-4.5422,0.5933
-4.6446,0.5800
-4.7308,0.5667
-4.8333,0.5554
-4.8442,0.5533
-4.9135,0.5400
-4.9827,0.5267
-5.1323,0.5133
-5.1667,0.5119
-5.5000,0.5094
-5.8333,0.5070
-6.1667,0.5045
-6.5000,0.5020
-6.7771,0.5000
-6.5000,0.4975
-6.1667,0.4944
-5.8333,0.4914
-5.5000,0.4884
-5.3122,0.4867
-5.1667,0.4853
-4.8333,0.4824
-4.5000,0.4811
-4.1667,0.4800
-3.8333,0.4789
-3.5000,0.4778
-3.1667,0.4767
-2.8333,0.4757
-2.5000,0.4758
-2.1667,0.4759
-1.8333,0.4761
-1.5000,0.4765
-1.1667,0.4769
-0.8333,0.4774
-0.5000,0.4781
-0.1667,0.4785
0.1667,0.4788
0.5000,0.4791
0.8333,0.4792
1.1667,0.4793
1.5000,0.4794
1.8333,0.4794
2.1667,0.4794
2.5000,0.4792
2.8333,0.4791
3.1667,0.4788
3.5000,0.4785
3.8333,0.4782
4.1667,0.4779
4.5000,0.4777
4.8333,0.4774
5.1667,0.4774
5.5000,0.4774
5.8333,0.4773
6.1667,0.4773
6.5000,0.4773
6.8333,0.4785
7.1667,0.4813
7.5000,0.4841
7.8126,0.4867
7.8333,0.4868
8.1667,0.4896
8.5000,0.4924
8.8333,0.4951
9.1667,0.4979
9.4182,0.5000
9.3642,0.5133
9.3102,0.5267
9.2563,0.5400
9.1911,0.5533
9.1667,0.5621
9.1483,0.5667
9.0943,0.5800
8.9204,0.5933
8.8696,0.6067
8.8333,0.6165
8.7963,0.6200
8.6148,0.6333
8.5632,0.6467
8.5000,0.6551
8.4206,0.6600
8.2971,0.6733
8.2279,0.6867
8.1667,0.6935
8.0685,0.7000
7.9738,0.7133
7.8705,0.7267
7.8333,0.7308
7.7246,0.7400
7.6322,0.7533
7.5131,0.7667
7.5000,0.7681
7.3844,0.7800
7.2748,0.7933
7.2065,0.8067
7.1891,0.8200
7.1717,0.8333
7.1667,0.8372
7.1442,0.8467
7.1128,0.8600
7.0814,0.8733
7.0500,0.8867
6.9894,0.9000
7.0289,0.9133
7.0202,0.9267
6.9548,0.9400
6.8893,0.9533
6.8333,0.9647
6.8236,0.9667
6.7561,0.9800
6.6886,0.9933
6.6745,1.0067
6.7139,1.0200
6.7533,1.0333
6.7927,1.0467
6.8318,1.0600
6.8333,1.0604
6.8703,1.0733
6.8811,1.0867
6.8423,1.1000
6.8353,1.1133
6.8333,1.1148
6.7664,1.1267
6.6911,1.1400
6.6159,1.1533
6.5406,1.1667
6.5000,1.1739
6.4653,1.1800
6.3900,1.1933
6.3474,1.2067
6.3375,1.2200
6.3275,1.2333
6.3176,1.2467
6.3076,1.2600
6.2976,1.2733
6.2735,1.2867
6.2532,1.3000
6.2371,1.3133
6.2208,1.3267
6.1823,1.3400
6.1667,1.3454
6.1395,1.3533
6.1013,1.3667
6.0667,1.3800
6.0282,1.3933
5.9897,1.4067
5.9512,1.4200
5.9127,1.4333
