x,y
9.5000,1.5213
9.1667,1.5249
8.8333,1.5249
8.5000,1.5249
8.1667,1.5249
7.8333,1.5249
7.5000,1.5249
7.1667,1.5249
6.8333,1.5249
6.5000,1.5249
6.1667,1.5249
5.8333,1.5249
5.5000,1.5249
5.1667,1.5249
4.8333,1.5249
4.5000,1.5249
4.1667,1.5249
3.8333,1.5249
3.5000,1.5249
3.1667,1.5249
2.8333,1.5248
2.5000,1.5249
2.1667,1.5249
1.8333,1.5249
1.5000,1.5249
1.1667,1.5248
0.8333,1.5248
0.5000,1.5246
0.1667,1.5246
-0.1667,1.5246
-0.5000,1.5245
-0.8333,1.5244
-1.1667,1.5242
-1.5000,1.5240
-1.8333,1.5239
-2.1667,1.5238
-2.5000,1.5237
-2.8333,1.5236
-3.1667,1.5234
-3.5000,1.5232
-3.8333,1.5230
-4.1667,1.5228
-4.5000,1.5226
-4.8333,1.5224
-5.1667,1.5220
-5.5000,1.5216
-5.8333,1.5212
-6.1667,1.5208
-6.5000,1.5204
-6.8333,1.5201
-7.1667,1.5198
-7.5000,1.5196
-7.8333,1.5193
-8.1667,1.5191
-8.5000,1.5188
-8.8333,1.5186
-9.1667,1.5183
-9.5000,1.5166
-9.5872,1.5133
-9.8333,1.5076
-10.1667,1.5025
-10.5000,1.5016
-10.8333,1.5014
-11.1667,1.5012
-11.5000,1.5011
-11.8333,1.5009
-12.1667,1.5007
-12.5000,1.5006
-12.8333,1.5004
-13.1667,1.5002
-13.5000,1.5001
-13.6361,1.5000
-13.6750,1.4867
-13.7139,1.4733
-13.7528,1.4600
-13.7918,1.4467
-13.8307,1.4333
-13.8333,1.4324
-13.8696,1.4200
-13.9085,1.4067
-13.9474,1.3933
-13.9863,1.3800
-14.0253,1.3667
-14.0642,1.3533
-14.1031,1.3400
-14.1420,1.3267
-14.1667,1.3256
-14.5000,1.3200
-14.8333,1.3158
-15.0247,1.3133
-15.1667,1.3115
-15.5000,1.3073
-15.8333,1.3031
-16.0753,1.3000
-16.1667,1.2988
-16.5000,1.2946
-16.8333,1.2904
-17.1259,1.2867
-17.1667,1.2861
-17.5000,1.2819
-17.8333,1.2777
-18.1667,1.2735
-18.1764,1.2733
-18.5000,1.2692
-18.8333,1.2650
-19.1667,1.2608
-19.2270,1.2600
-19.5000,1.2565
-19.8333,1.2523
-19.8348,1.2467
-19.8382,1.2333
-19.8415,1.2200
-19.8449,1.2067
-19.8470,1.1933
-19.8499,1.1800
-19.8529,1.1667
-19.8558,1.1533
-19.8587,1.1400
-19.8615,1.1267
-19.8642,1.1133
-19.8667,1.1000
-19.8672,1.0867
-19.8670,1.0733
-19.8669,1.0600
-19.8667,1.0467
-19.8665,1.0333
-19.8663,1.0200
-19.8661,1.0067
-19.8665,0.9933
-19.8674,0.9800
-19.8683,0.9667
-19.8693,0.9533
-19.8703,0.9400
-19.8713,0.9267
-19.8724,0.9133
-19.8734,0.9000
-19.8744,0.8867
-19.8754,0.8733
-19.8764,0.8600
-19.8774,0.8467
-19.8784,0.8333
-19.8794,0.8200
-19.8804,0.8067
-19.8808,0.7933
-19.8810,0.7800
-19.8812,0.7667
-19.8812,0.7533
-19.8813,0.7400
-19.8814,0.7267
-19.8815,0.7133
-19.8815,0.7000
-19.8816,0.6867
-19.8817,0.6733
-19.8818,0.6600
-19.8819,0.6467
-19.8819,0.6333
-19.8820,0.6200
-19.8821,0.6067
-19.8822,0.5933
-19.8822,0.5800
-19.8823,0.5667
-19.8824,0.5533
-19.8825,0.5400
-19.8826,0.5267
-19.8826,0.5133
-19.8827,0.5000
-19.8333,0.4975
-19.5000,0.4975
-19.1667,0.4975
-18.8333,0.4975
-18.5000,0.4975
-18.1667,0.4975
-17.8333,0.4975
-17.5000,0.4975
-17.1667,0.4975
-16.8333,0.4975
-16.5000,0.4975
-16.1667,0.4975
-15.8333,0.4975
-15.5000,0.4975
-15.1667,0.4975
-14.8333,0.4975
-14.5000,0.4975
-14.1667,0.4975
-13.8333,0.4975
-13.5000,0.4975
-13.1667,0.4975
-12.8333,0.4975
-12.5000,0.4975
-12.1667,0.4975
-11.8333,0.4975
-11.5000,0.4975
-11.1667,0.4975
