x,y
11.2124,1.3267
11.2030,1.3400
11.1936,1.3533
11.1841,1.3667
11.1747,1.3800
11.1667,1.3913
11.1653,1.3933
11.1558,1.4067
11.1464,1.4200
11.1369,1.4333
11.1275,1.4467
11.1181,1.4600
10.9324,1.4733
10.8333,1.4777
10.6533,1.4867
10.6603,1.5000
10.5000,1.5023
10.1667,1.5016
9.8333,1.5083
9.6187,1.5133
9.5000,1.5178
9.1667,1.5203
8.8333,1.5209
8.5000,1.5215
8.1667,1.5220
7.8333,1.5226
7.5000,1.5232
7.1667,1.5237
6.8333,1.5243
6.5000,1.5246
6.1667,1.5245
5.8333,1.5244
5.5000,1.5244
5.1667,1.5243
4.8333,1.5242
4.5000,1.5239
4.1667,1.5236
3.8333,1.5232
3.5000,1.5229
3.1667,1.5225
2.8333,1.5222
2.5000,1.5219
2.1667,1.5216
1.8333,1.5211
1.5000,1.5198
1.1667,1.5185
0.8333,1.5167
0.5000,1.5140
0.4297,1.5133
0.1667,1.5107
-0.1667,1.5074
-0.5000,1.5041
-0.6841,1.5000
-0.7357,1.4867
-0.7944,1.4733
-0.8333,1.4654
-0.8692,1.4600
-0.9574,1.4467
-1.0456,1.4333
-1.1338,1.4200
-1.1667,1.4150
-1.2850,1.4067
-1.4736,1.3933
-1.5000,1.3915
-1.6258,1.3800
-1.7608,1.3667
-1.8333,1.3590
-1.9083,1.3533
-2.0840,1.3400
-2.1667,1.3337
-2.3389,1.3267
-2.5000,1.3201
-2.5247,1.3133
-2.5897,1.3000
-2.6909,1.2867
-2.8333,1.2754
-2.8411,1.2733
-2.8904,1.2600
-2.9351,1.2467
-2.9690,1.2333
-3.0376,1.2200
-3.1667,1.2118
-3.4452,1.2067
-3.5000,1.2049
-3.8333,1.1943
-3.8645,1.1933
-3.9835,1.1800
-4.1024,1.1667
-4.1667,1.1597
-4.2277,1.1533
-4.3624,1.1400
-4.4971,1.1267
-4.5000,1.1264
-4.6318,1.1133
-4.7665,1.1000
-4.8333,1.0931
-4.8928,1.0867
-5.0366,1.0733
-5.1667,1.0603
-5.1690,1.0600
-5.3293,1.0467
-5.4883,1.0333
-5.5000,1.0324
-5.6248,1.0200
-5.8064,1.0067
-5.8333,1.0045
-5.9744,0.9933
-6.1667,0.9847
-6.2443,0.9800
-6.4772,0.9667
-6.5000,0.9657
-6.7087,0.9533
-6.8333,0.9460
-6.9201,0.9400
-7.1143,0.9267
-7.1667,0.9225
-7.2411,0.9133
-7.3661,0.9000
-7.4445,0.8867
-7.5000,0.8772
-7.5228,0.8733
-7.6012,0.8600
-7.6795,0.8467
-7.7579,0.8333
-7.8333,0.8294
-8.1667,0.8234
-8.5000,0.8205
-8.5553,0.8200
-8.8333,0.8176
-9.1667,0.8147
-9.5000,0.8118
-9.8333,0.8089
-9.8946,0.8067
-10.1667,0.7946
-10.1894,0.7933
-10.2300,0.7800
-10.2706,0.7667
-10.3112,0.7533
-10.3518,0.7400
-10.3924,0.7267
-10.4330,0.7133
-10.4736,0.7000
-10.5000,0.6913
-10.5142,0.6867
-10.5548,0.6733
-10.5954,0.6600
-10.6360,0.6467
-10.6766,0.6333
-10.7172,0.6200
-10.7578,0.6067
-10.7984,0.5933
-10.8333,0.5819
-10.8390,0.5800
-10.8796,0.5667
-10.9202,0.5533
-10.9608,0.5400
-11.1667,0.5296
-11.4606,0.5267
-11.5000,0.5264
-11.8333,0.5242
-12.1667,0.5220
-12.5000,0.5198
-12.8333,0.5176
