x,y
6.9878,1.4333
6.9802,1.4467
6.9725,1.4600
6.9648,1.4733
6.9504,1.4867
6.9234,1.5000
6.8333,1.5043
6.5000,1.5073
6.1667,1.5097
5.8333,1.5121
5.6680,1.5133
5.5000,1.5146
5.1667,1.5170
4.8333,1.5191
4.5000,1.5174
4.1667,1.5149
3.9617,1.5133
3.8333,1.5124
3.5000,1.5099
3.1667,1.5074
2.8333,1.5032
2.6774,1.5000
2.6292,1.4867
2.5810,1.4733
2.5328,1.4600
2.5000,1.4509
2.4840,1.4467
2.4238,1.4333
2.3408,1.4200
2.2196,1.4067
2.1667,1.4023
2.1359,1.3933
2.0901,1.3800
2.0443,1.3667
1.9985,1.3533
1.9527,1.3400
1.9069,1.3267
1.8611,1.3133
1.8333,1.3053
1.8168,1.3000
1.7583,1.2867
1.6538,1.2733
1.5000,1.2634
1.3303,1.2600
1.1667,1.2567
0.8333,1.2471
0.8290,1.2467
0.6699,1.2333
0.5000,1.2236
0.4740,1.2200
0.3070,1.2067
0.1667,1.1965
0.1070,1.1933
0.0702,1.1800
0.0334,1.1667
-0.0384,1.1533
-0.1475,1.1400
-0.1667,1.1382
-0.3081,1.1267
-0.4716,1.1133
-0.5000,1.1110
-0.5602,1.1000
-0.6284,1.0867
-0.7236,1.0733
-0.8333,1.0625
-0.8603,1.0600
-1.0021,1.0467
-1.1440,1.0333
-1.1667,1.0312
-1.3031,1.0200
-1.5000,1.0094
-1.5311,1.0067
-1.6455,0.9933
-1.7386,0.9800
-1.8333,0.9704
-1.8653,0.9667
-1.9790,0.9533
-2.0927,0.9400
-2.1667,0.9313
-2.2123,0.9267
-2.3429,0.9133
-2.4734,0.9000
-2.5000,0.8873
-2.5014,0.8867
-2.5358,0.8733
-2.5986,0.8600
-2.7614,0.8467
-2.8333,0.8431
-2.9565,0.8333
-3.1251,0.8200
-3.1667,0.8167
-3.2594,0.8067
-3.3779,0.7933
-3.4916,0.7800
-3.5000,0.7790
-3.6053,0.7667
-3.7191,0.7533
-3.8328,0.7400
-3.8333,0.7399
-3.9466,0.7267
-4.0603,0.7133
-4.1667,0.7009
-4.1740,0.7000
-4.2878,0.6867
-4.4015,0.6733
-4.5000,0.6618
-4.5153,0.6600
-4.6290,0.6467
-4.7427,0.6333
-4.8333,0.6227
-4.8446,0.6200
-4.9002,0.6067
-4.9557,0.5933
-5.0112,0.5800
-5.0667,0.5667
-5.1223,0.5533
-5.1667,0.5427
-5.1881,0.5400
-5.5000,0.5281
-5.7114,0.5267
-5.8333,0.5258
-6.1667,0.5235
-6.5000,0.5213
-6.8333,0.5190
-6.8973,0.5133
-7.1667,0.5051
-7.5000,0.5030
-7.8333,0.5009
-7.9790,0.5000
-7.8333,0.4984
-7.5000,0.4947
-7.1667,0.4910
-6.8333,0.4873
-6.7000,0.4867
-6.5000,0.4856
-6.1667,0.4841
-5.8333,0.4826
-5.5000,0.4810
-5.1667,0.4795
-4.8333,0.4780
-4.5000,0.4774
-4.1667,0.4770
-3.8333,0.4766
-3.5000,0.4762
-3.1667,0.4759
-2.8333,0.4755
-2.5000,0.4757
-2.1667,0.4758
-1.8333,0.4760
-1.5000,0.4763
-1.1667,0.4766
-0.8333,0.4769
-0.5000,0.4772
-0.1667,0.4774
0.1667,0.4777
0.5000,0.4779
0.8333,0.4780
1.1667,0.4781
1.5000,0.4781
1.8333,0.4782
2.1667,0.4781
2.5000,0.4780
2.8333,0.4779
3.1667,0.4777
3.5000,0.4775
3.8333,0.4773
4.1667,0.4770
4.5000,0.4768
4.8333,0.4766
5.1667,0.4765
5.5000,0.4764
5.8333,0.4763
6.1667,0.4762
6.5000,0.4762
6.8333,0.4768
7.1667,0.4781
7.5000,0.4794
7.8333,0.4807
8.1667,0.4820
8.5000,0.4833
8.8333,0.4846
9.1667,0.4859
9.3492,0.4867
9.5000,0.4873
9.8333,0.4949
10.1667,0.4993
10.2689,0.5000
10.1667,0.5013
9.9093,0.5133
9.8933,0.5267
9.8738,0.5400
9.8544,0.5533
9.8349,0.5667
9.8333,0.5677
9.7229,0.5800
9.6027,0.5933
9.5000,0.6047
9.4826,0.6067
9.3624,0.6200
9.2423,0.6333
9.1667,0.6417
9.1221,0.6467
9.0020,0.6600
8.8818,0.6733
8.8333,0.6787
8.7617,0.6867
8.6415,0.7000
8.5214,0.7133
8.5000,0.7157
8.4012,0.7267
8.2811,0.7400
8.1667,0.7527
8.1609,0.7533
8.0408,0.7667
7.9206,0.7800
7.8333,0.7897
7.8005,0.7933
7.7339,0.8067
7.7208,0.8200
7.7076,0.8333
7.6945,0.8467
7.6814,0.8600
7.6650,0.8733
7.6124,0.8867
7.5344,0.9000
7.5224,0.9133
7.5255,0.9267
7.6010,0.9400
7.6664,0.9533
7.7196,0.9667
7.8333,0.9794
7.8370,0.9800
7.8549,0.9933
7.8512,1.0067
7.8333,1.0165
7.8205,1.0200
7.6975,1.0333
7.6443,1.0467
7.5695,1.0600
7.5000,1.0711
7.4818,1.0733
7.3671,1.0867
7.2548,1.1000
7.2481,1.1133
7.2414,1.1267
7.2347,1.1400
7.2280,1.1533
7.2213,1.1667
7.2146,1.1800
7.1962,1.1933
7.1667,1.2003
7.1176,1.2067
7.1104,1.2200
7.1029,1.2333
7.0953,1.2467
7.0876,1.2600
7.0799,1.2733
7.0722,1.2867
7.0646,1.3000
7.0569,1.3133
7.0492,1.3267
7.0415,1.3400
7.0339,1.3533
7.0262,1.3667
7.0185,1.3800
7.0109,1.3933
7.0032,1.4067
6.9955,1.4200
6.9878,1.4333
