process,TopYuk,SlfCoup,cross_section_pb
pp2hh_HeavyHiggsTHDM,0.5,-20.0,0.51342
pp2hh_HeavyHiggsTHDM,0.5,-10.0,0.1438
pp2hh_HeavyHiggsTHDM,0.5,-7.0,0.077355
pp2hh_HeavyHiggsTHDM,0.5,-5.0,0.044446
pp2hh_HeavyHiggsTHDM,0.5,-3.0,0.020674
pp2hh_HeavyHiggsTHDM,0.5,-2.0,0.012206
pp2hh_HeavyHiggsTHDM,0.5,-1.0,0.0060154
pp2hh_HeavyHiggsTHDM,0.5,-0.5,0.0037762
pp2hh_HeavyHiggsTHDM,0.5,0.5,0.0010049
pp2hh_HeavyHiggsTHDM,0.5,1.0,0.00047415
pp2hh_HeavyHiggsTHDM,0.5,2.0,0.0011231
pp2hh_HeavyHiggsTHDM,0.5,3.0,0.0040518
pp2hh_HeavyHiggsTHDM,0.5,5.0,0.016746
pp2hh_HeavyHiggsTHDM,0.5,7.0,0.038557
pp2hh_HeavyHiggsTHDM,0.5,10.0,0.088394
pp2hh_HeavyHiggsTHDM,0.5,20.0,0.40269
pp2hh_HeavyHiggsTHDM,0.8,-20.0,1.4078
pp2hh_HeavyHiggsTHDM,0.8,-10.0,0.41912
pp2hh_HeavyHiggsTHDM,0.8,-7.0,0.23617
pp2hh_HeavyHiggsTHDM,0.8,-5.0,0.14345
pp2hh_HeavyHiggsTHDM,0.8,-3.0,0.074079
pp2hh_HeavyHiggsTHDM,0.8,-2.0,0.048166
pp2hh_HeavyHiggsTHDM,0.8,-1.0,0.028062
pp2hh_HeavyHiggsTHDM,0.8,-0.5,0.020193
pp2hh_HeavyHiggsTHDM,0.8,0.5,0.0088491
pp2hh_HeavyHiggsTHDM,0.8,1.0,0.0053661
pp2hh_HeavyHiggsTHDM,0.8,2.0,0.0027707
pp2hh_HeavyHiggsTHDM,0.8,3.0,0.0060114
pp2hh_HeavyHiggsTHDM,0.8,5.0,0.029995
pp2hh_HeavyHiggsTHDM,0.8,7.0,0.077325
pp2hh_HeavyHiggsTHDM,0.8,10.0,0.19209
pp2hh_HeavyHiggsTHDM,0.8,20.0,0.95416
pp2hh_HeavyHiggsTHDM,0.9,-10.0,0.55292
pp2hh_HeavyHiggsTHDM,0.9,-7.0,0.3161
pp2hh_HeavyHiggsTHDM,0.9,-5.0,0.19517
pp2hh_HeavyHiggsTHDM,0.9,-3.0,0.10379
pp2hh_HeavyHiggsTHDM,0.9,-2.0,0.069191
pp2hh_HeavyHiggsTHDM,0.9,-1.0,0.041957
pp2hh_HeavyHiggsTHDM,0.9,-0.5,0.031105
pp2hh_HeavyHiggsTHDM,0.9,0.5,0.01494
pp2hh_HeavyHiggsTHDM,0.9,1.0,0.0096347
pp2hh_HeavyHiggsTHDM,0.9,2.0,0.0045515
pp2hh_HeavyHiggsTHDM,0.9,3.0,0.0068599
pp2hh_HeavyHiggsTHDM,0.9,5.0,0.033622
pp2hh_HeavyHiggsTHDM,0.9,7.0,0.089949
pp2hh_HeavyHiggsTHDM,0.9,10.0,0.22978
pp2hh_HeavyHiggsTHDM,0.9,20.0,1.1762
pp2hh_HeavyHiggsTHDM,1.0,-20.0,2.3008
pp2hh_HeavyHiggsTHDM,1.0,-15.0,1.3919
pp2hh_HeavyHiggsTHDM,1.0,-10.0,0.71114
pp2hh_HeavyHiggsTHDM,1.0,-9.0,0.60241
pp2hh_HeavyHiggsTHDM,1.0,-8.0,0.50274
pp2hh_HeavyHiggsTHDM,1.0,-7.0,0.41211
pp2hh_HeavyHiggsTHDM,1.0,-6.0,0.33079
pp2hh_HeavyHiggsTHDM,1.0,-5.0,0.25842
pp2hh_HeavyHiggsTHDM,1.0,-4.0,0.19529
pp2hh_HeavyHiggsTHDM,1.0,-3.0,0.14117
pp2hh_HeavyHiggsTHDM,1.0,-2.0,0.096246
pp2hh_HeavyHiggsTHDM,1.0,-1.5,0.07717
pp2hh_HeavyHiggsTHDM,1.0,-1.0,0.060419
pp2hh_HeavyHiggsTHDM,1.0,-0.5,0.04591
pp2hh_HeavyHiggsTHDM,1.0,0.5,0.023744
pp2hh_HeavyHiggsTHDM,1.0,0.8,0.018863
pp2hh_HeavyHiggsTHDM,1.0,1.0,0.016078
pp2hh_HeavyHiggsTHDM,1.0,1.2,0.013651
pp2hh_HeavyHiggsTHDM,1.0,1.5,0.010691
pp2hh_HeavyHiggsTHDM,1.0,2.0,0.0075864
pp2hh_HeavyHiggsTHDM,1.0,3.0,0.0082156
pp2hh_HeavyHiggsTHDM,1.0,4.0,0.01797
pp2hh_HeavyHiggsTHDM,1.0,5.0,0.036819
pp2hh_HeavyHiggsTHDM,1.0,6.0,0.064829
pp2hh_HeavyHiggsTHDM,1.0,7.0,0.10192
pp2hh_HeavyHiggsTHDM,1.0,8.0,0.14813
pp2hh_HeavyHiggsTHDM,1.0,9.0,0.2035
pp2hh_HeavyHiggsTHDM,1.0,10.0,0.26794
pp2hh_HeavyHiggsTHDM,1.0,15.0,0.72691
pp2hh_HeavyHiggsTHDM,1.0,20.0,1.4143
pp2hh_HeavyHiggsTHDM,1.1,-20.0,2.8461
pp2hh_HeavyHiggsTHDM,1.1,-10.0,0.89591
pp2hh_HeavyHiggsTHDM,1.1,-7.0,0.52603
pp2hh_HeavyHiggsTHDM,1.1,-5.0,0.33467
pp2hh_HeavyHiggsTHDM,1.1,-3.0,0.18749
pp2hh_HeavyHiggsTHDM,1.1,-2.0,0.1304
pp2hh_HeavyHiggsTHDM,1.1,-1.0,0.084344
pp2hh_HeavyHiggsTHDM,1.1,-0.5,0.06546
pp2hh_HeavyHiggsTHDM,1.1,0.5,0.035942
pp2hh_HeavyHiggsTHDM,1.1,1.0,0.025329
pp2hh_HeavyHiggsTHDM,1.1,2.0,0.012381
pp2hh_HeavyHiggsTHDM,1.1,3.0,0.010459
pp2hh_HeavyHiggsTHDM,1.1,5.0,0.03971
pp2hh_HeavyHiggsTHDM,1.1,7.0,0.11313
pp2hh_HeavyHiggsTHDM,1.1,10.0,0.30598
pp2hh_HeavyHiggsTHDM,1.1,20.0,1.6661
pp2hh_HeavyHiggsTHDM,1.2,-20.0,3.4621
pp2hh_HeavyHiggsTHDM,1.2,-10.0,1.1095
pp2hh_HeavyHiggsTHDM,1.2,-7.0,0.65961
pp2hh_HeavyHiggsTHDM,1.2,-5.0,0.42544
pp2hh_HeavyHiggsTHDM,1.2,-3.0,0.24384
pp2hh_HeavyHiggsTHDM,1.2,-2.0,0.17275
pp2hh_HeavyHiggsTHDM,1.2,-1.0,0.11473
pp2hh_HeavyHiggsTHDM,1.2,-0.5,0.090659
pp2hh_HeavyHiggsTHDM,1.2,0.5,0.052327
pp2hh_HeavyHiggsTHDM,1.2,1.0,0.038111
pp2hh_HeavyHiggsTHDM,1.2,2.0,0.019517
pp2hh_HeavyHiggsTHDM,1.2,3.0,0.014026
pp2hh_HeavyHiggsTHDM,1.2,5.0,0.042466
pp2hh_HeavyHiggsTHDM,1.2,7.0,0.12343
pp2hh_HeavyHiggsTHDM,1.2,10.0,0.3433
pp2hh_HeavyHiggsTHDM,1.2,20.0,1.9299
pp2hh_HeavyHiggsTHDM,1.5,-20.0,5.7703
pp2hh_HeavyHiggsTHDM,1.5,-10.0,1.9438
pp2hh_HeavyHiggsTHDM,1.5,-7.0,1.1967
pp2hh_HeavyHiggsTHDM,1.5,-5.0,0.80087
pp2hh_HeavyHiggsTHDM,1.5,-3.0,0.48725
pp2hh_HeavyHiggsTHDM,1.5,-2.0,0.3612
pp2hh_HeavyHiggsTHDM,1.5,-1.0,0.25562
pp2hh_HeavyHiggsTHDM,1.5,-0.5,0.21048
pp2hh_HeavyHiggsTHDM,1.5,0.5,0.13571
pp2hh_HeavyHiggsTHDM,1.5,1.0,0.10598
pp2hh_HeavyHiggsTHDM,1.5,2.0,0.061942
pp2hh_HeavyHiggsTHDM,1.5,3.0,0.038406
pp2hh_HeavyHiggsTHDM,1.5,5.0,0.052931
pp2hh_HeavyHiggsTHDM,1.5,7.0,0.14951
pp2hh_HeavyHiggsTHDM,1.5,10.0,0.44814
pp2hh_HeavyHiggsTHDM,1.5,20.0,2.7778
